Name,PuntV,LeagV,Punt+,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g
De'Andre Hunter,-0.562364583,-0.408491096,-0.153873487,ATL,SF/PF,67,31.72661692,15.35820896,1.492537313,4.23880597,1.402985075,0.52238806,0.253731343,0.46107056,12.26865672,0.826086957,3.089552239,1.223880597
Malik Beasley,-0.583303893,-0.411902365,-0.171401528,LAL,SG/SF,81,25.83888889,12.65432099,2.901234568,3.49382716,1.530864198,0.802469136,0.111111111,0.394877268,11.56790123,0.769230769,0.802469136,1.111111111
Moritz Wagner,-0.57145918,-0.412410079,-0.159049102,ORL,PF/C,57,19.46403509,10.52631579,0.894736842,4.543859649,1.473684211,0.649122807,0.228070175,0.5,6.947368421,0.840659341,3.192982456,1.192982456
Nick Richards,-0.616394864,-0.413895483,-0.202499381,CHA,C,65,18.7225641,8.184615385,0.015384615,6.4,0.584615385,0.169230769,1.092307692,0.629392971,4.815384615,0.74863388,2.815384615,0.907692308
Isaiah Jackson,-0.632420678,-0.41490743,-0.217513248,IND,PF/C,63,16.54470899,7.222222222,0.031746032,4.476190476,0.80952381,0.492063492,1.476190476,0.562893082,5.047619048,0.650684932,2.317460317,0.80952381
Corey Kispert,-0.645626242,-0.417711016,-0.227915226,WAS,SG/SF,74,28.28693694,11.08108108,2.202702703,2.797297297,1.175675676,0.432432432,0.121621622,0.497435897,7.905405405,0.852272727,1.189189189,0.743243243
Jalen Green,-0.360012483,-0.418381846,0.058369363,HOU,SG,76,34.24035088,22.14473684,2.460526316,3.736842105,3.697368421,0.776315789,0.236842105,0.416482708,17.88157895,0.786177106,6.092105263,2.631578947
Marcus Morris,-0.631208725,-0.42084177,-0.210366954,LAC,PF/C,65,28.08,11.2,1.723076923,3.969230769,1.753846154,0.646153846,0.323076923,0.426127527,9.892307692,0.781609195,1.338461538,0.861538462
Jevon Carter,-0.61725071,-0.42210678,-0.19514393,MIL,PG/SG,81,22.35,8.037037037,1.75308642,2.49382716,2.432098765,0.814814815,0.358024691,0.42300885,6.975308642,0.815789474,0.469135802,0.962962963
Russell Westbrook,-0.235112719,-0.42350065,0.188387932,LAC,PG,73,29.12123288,15.87671233,1.219178082,5.794520548,7.547945205,1.04109589,0.452054795,0.43592331,13.57534247,0.656050955,4.301369863,3.493150685
