,Name,PuntV,LeagV,g,m/g,p/g,a/g,3/g,r/g,s/g,b/g,wft,wfg,neg to/g
69,Jalen Williams,-0.069965903,-0.026896732,75,30.34,14.08,3.306666667,0.973333333,4.493333333,1.373333333,0.466666667,0.07119377005687867,0.48396610311138144,-1.64
70,Julius Randle,0.101827038,-0.031261436,77,35.55,25.14285714,4.103896104,2.831168831,9.961038961,0.636363636,0.272727273,-0.18275026427914787,-0.3012535545119533,-2.805194805
71,De'Anthony Melton,-0.140741454,-0.04730222,77,27.91926407,10.12987013,2.558441558,2.038961039,4.051948052,1.636363636,0.532467532,0.01077985574689282,-0.42438998365402564,-1.324675325
72,Onyeka Okongwu,-0.1901956,-0.049179885,80,23.10729167,9.8875,1.0125,0.05,7.2,0.7,1.3375,-0.007228507276234581,1.0072392429863146,-1.0125
73,Tyrese Maxey,-0.144177201,-0.051523327,60,33.59472222,20.3,3.533333333,2.666666667,2.933333333,0.816666667,0.133333333,0.21835257237729266,0.07816077765023442,-1.333333333
74,Devin Vassell,-0.120023158,-0.052519916,38,31.00219298,18.5,3.578947368,2.710526316,3.894736842,1.131578947,0.447368421,-0.009375410875416344,-0.579975228135154,-1.5
75,Tyler Herro,0.009365624,-0.053195176,67,34.87711443,20.10447761,4.179104478,3.029850746,5.373134328,0.76119403,0.23880597,0.408829799511199,-0.6051753699862271,-2.358208955
76,D'Angelo Russell,0.046291497,-0.055623926,71,32.45234742,17.78873239,6.154929577,2.732394366,3.028169014,0.985915493,0.408450704,0.13733051181453276,-0.08393957490624716,-2.61971831
77,Michael Porter Jr.,-0.192874911,-0.062921749,62,28.99704301,17.41935484,1.048387097,3.032258065,5.5,0.596774194,0.467741935,0.031814213936355466,0.1509105244949372,-1.096774194
78,Kyle Anderson,-0.132908977,-0.062997159,69,28.35531401,9.376811594,4.855072464,0.623188406,5.333333333,1.130434783,0.913043478,-0.09513798821637563,0.23957291409078646,-1.492753623
79,Alperen Sengun,0.024538472,-0.068707202,75,28.94488889,14.78666667,3.88,0.253333333,9.04,0.933333333,0.933333333,-0.2622139320313228,0.8255863760519763,-2.573333333
80,Kevin Porter,0.110776418,-0.074698794,59,34.30367232,19.15254237,5.728813559,2.389830508,5.322033898,1.389830508,0.288135593,0.0023637077430633795,-0.5002571692683878,-3.186440678
81,Scottie Barnes,-0.071925726,-0.077167193,77,34.77748918,15.31168831,4.818181818,0.818181818,6.649350649,1.077922078,0.792207792,-0.03579757538863237,-0.2637276817515193,-2.0
82,Derrick White,-0.212021222,-0.08826633,82,28.28292683,12.40243902,3.914634146,1.817073171,3.573170732,0.658536585,0.926829268,0.2140971954289875,-0.12899377526520145,-1.158536585
83,Josh Hart,-0.154393356,-0.0883923,76,32.29035088,9.776315789,3.815789474,0.802631579,7.802631579,1.157894737,0.276315789,-0.07772404579264654,0.36365965499294983,-1.539473684
84,C.J. McCollum,-0.017896443,-0.088453647,75,35.31711111,20.90666667,5.72,2.813333333,4.373333333,0.933333333,0.506666667,-0.04650549553766667,-0.6978038095718702,-2.44
85,Kevin Huerter,-0.192768518,-0.089323565,75,29.37133333,15.2,2.946666667,2.733333333,3.346666667,1.066666667,0.32,-0.10195610553203817,0.10729804975529086,-1.293333333
86,Markelle Fultz,-0.047804147,-0.098412804,60,29.63361111,13.95,5.683333333,0.45,3.9,1.45,0.433333333,-0.000824330967242315,0.43337476340999886,-2.316666667
87,Christian Wood,-0.126457256,-0.099484227,67,25.94626866,16.62686567,1.805970149,1.567164179,7.328358209,0.447761194,1.074626866,-0.04747919911357585,0.45059485294633045,-1.805970149
88,Kelly Oubre,-0.202788645,-0.103622388,48,32.24027778,20.25,1.125,2.25,5.1875,1.416666667,0.375,-0.1037715082356978,-0.7623945715279037,-1.333333333
89,Ja Morant,0.104863479,-0.105648975,61,31.93989071,26.16393443,8.081967213,1.508196721,5.852459016,1.081967213,0.262295082,-0.28574819568886495,-0.1884396419090811,-3.37704918
90,Spencer Dinwiddie,-0.132539176,-0.108863356,79,34.49831224,17.32911392,6.518987342,2.291139241,3.417721519,0.848101266,0.303797468,0.11929523337144009,-0.49975559070376885,-1.835443038
91,Kentavious Caldwell-Pope,-0.239598549,-0.109145591,76,31.33179825,10.81578947,2.407894737,1.776315789,2.736842105,1.473684211,0.460526316,0.06650878925041934,-0.11368167134276694,-1.131578947
